Skyrim.esm | Aia Arria | AiaArria | ImperialRace "Imperial" [RACE:00013744] | 0001325C
Skyrim.esm |  | EncBandit01MagicBretonF | BretonRace "Breton" [RACE:00013741] | 00039D32
Skyrim.esm |  | EncBandit01MagicDarkElfF | DarkElfRace "Dark Elf" [RACE:00013742] | 00039D34
Skyrim.esm |  | EncBandit01MagicNordF | NordRace "Nord" [RACE:00013746] | 00039D36
Skyrim.esm |  | EncBandit02MagicBretonF | BretonRace "Breton" [RACE:00013741] | 00039D39
Skyrim.esm |  | EncBandit02MagicDarkElfF | DarkElfRace "Dark Elf" [RACE:00013742] | 00039D3B
Skyrim.esm |  | EncBandit02MagicNordF | NordRace "Nord" [RACE:00013746] | 00039D3D
Skyrim.esm |  | EncBandit03MagicBretonF | BretonRace "Breton" [RACE:00013741] | 00039D44
Skyrim.esm |  | EncBandit03MagicDarkElfF | DarkElfRace "Dark Elf" [RACE:00013742] | 00039D46
Skyrim.esm |  | EncBandit03MagicNordF | NordRace "Nord" [RACE:00013746] | 00039D48
Skyrim.esm |  | EncBandit04MagicBretonF | BretonRace "Breton" [RACE:00013741] | 00039D4B
Skyrim.esm |  | EncBandit04MagicDarkElfF | DarkElfRace "Dark Elf" [RACE:00013742] | 00039D4D
Skyrim.esm |  | EncBandit04MagicNordF | NordRace "Nord" [RACE:00013746] | 00039D4F
Skyrim.esm |  | EncBandit05MagicBretonF | BretonRace "Breton" [RACE:00013741] | 00039D52
Skyrim.esm |  | EncBandit05MagicDarkElfF | DarkElfRace "Dark Elf" [RACE:00013742] | 00039D54
Skyrim.esm |  | EncBandit05MagicNordF | NordRace "Nord" [RACE:00013746] | 00039D56
Skyrim.esm |  | EncBandit06MagicBretonF | BretonRace "Breton" [RACE:00013741] | 00039D59
Skyrim.esm |  | EncBandit06MagicDarkElfF | DarkElfRace "Dark Elf" [RACE:00013742] | 00039D5B
Skyrim.esm |  | EncBandit06MagicNordF | NordRace "Nord" [RACE:00013746] | 00039D5D
Skyrim.esm |  | EncBandit01MissileWoodElfF | WoodElfRace "Wood Elf" [RACE:00013749] | 00039D65
Skyrim.esm |  | EncBandit02MissileWoodElfF | WoodElfRace "Wood Elf" [RACE:00013749] | 00039D67
Skyrim.esm |  | EncBandit03MissileWoodElfF | WoodElfRace "Wood Elf" [RACE:00013749] | 00039D69
Skyrim.esm |  | EncBandit04MissileWoodElfF | WoodElfRace "Wood Elf" [RACE:00013749] | 00039D6B
Skyrim.esm |  | EncBandit05MissileWoodElfF | WoodElfRace "Wood Elf" [RACE:00013749] | 00039D6D
Skyrim.esm |  | EncBandit06MissileWoodElfF | WoodElfRace "Wood Elf" [RACE:00013749] | 00039D6F
Skyrim.esm | Zaria | Zaria | RedguardRace "Redguard" [RACE:00013748] | 0003A19A
Skyrim.esm | Selveni Nethri | dunSouthfringeSelveniNethri | DarkElfRace "Dark Elf" [RACE:00013742] | 0003A745
Skyrim.esm |  | EncDraugr02MagicHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B530
Skyrim.esm |  | EncDraugr03Melee1HHeadF01 | DraugrRace "Draugr" [RACE:00000D53] | 0003B531
Skyrim.esm |  | EncDraugr03Melee2HHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B535
Skyrim.esm |  | EncDraugr03MissileHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B536
Skyrim.esm |  | EncDraugr03MagicHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B537
Skyrim.esm |  | EncDraugr04Melee1HHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B538
Skyrim.esm |  | EncDraugr04Melee2HHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B539
Skyrim.esm |  | EncDraugr04MissileHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B53A
Skyrim.esm |  | EncDraugr04MagicHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B53E
Skyrim.esm |  | EncDraugr05Melee1HEbonyHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B540
Skyrim.esm |  | EncDraugr05Melee2HEbonyHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B541
Skyrim.esm |  | EncDraugr05MissileEbonyHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B542
Skyrim.esm |  | EncDraugr05Melee1HHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B543
Skyrim.esm |  | EncDraugr05Melee2HHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B544
Skyrim.esm |  | EncDraugr05MissileHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0003B545
Skyrim.esm | Medresi Dran | dunAngarvundeMedresiDran | DarkElfRace "Dark Elf" [RACE:00013742] | 0003B5B2
Skyrim.esm | Night Mother Voice NPC | DBNightMotherVoiceNPC | DefaultRace "Default Race" [RACE:00000019] | 0003BB85
Skyrim.esm | Nocturnal | Nocturnal | RedguardRace "Redguard" [RACE:00013748] | 0001A2CF
Skyrim.esm |  | EncDraugr01Melee2HHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0001FE76
Skyrim.esm |  | EncDraugr01Melee2HHeadF01 | DraugrRace "Draugr" [RACE:00000D53] | 0001FE77
Skyrim.esm |  | EncDraugr01Melee2HHeadF02 | DraugrRace "Draugr" [RACE:00000D53] | 0001FE7C
Skyrim.esm |  | EncDraugr02Melee1HHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 0001FF23
Skyrim.esm |  | EncDraugr02Melee1HHeadF01 | DraugrRace "Draugr" [RACE:00000D53] | 0001FF24
Skyrim.esm |  | EncDraugr02Melee1HHeadF02 | DraugrRace "Draugr" [RACE:00000D53] | 0001FF25
Skyrim.esm |  | EncDraugr02Melee1HHeadF11 | DraugrRace "Draugr" [RACE:00000D53] | 0001FF26
Skyrim.esm |  | EncDraugr02Melee2HHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 000201BB
Skyrim.esm |  | EncDraugr02Melee2HHeadF03 | DraugrRace "Draugr" [RACE:00000D53] | 000201BC
Skyrim.esm |  | EncDraugr02Melee2HHeadF08 | DraugrRace "Draugr" [RACE:00000D53] | 000201BD
Skyrim.esm |  | EncDraugr02Melee2HHeadF11 | DraugrRace "Draugr" [RACE:00000D53] | 000201BE
Skyrim.esm |  | EncDraugr02MissileHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 000223FC
Skyrim.esm |  | EncDraugr02MissileHeadF01 | DraugrRace "Draugr" [RACE:00000D53] | 000223FD
Skyrim.esm |  | EncDraugr02MissileHeadF02 | DraugrRace "Draugr" [RACE:00000D53] | 000223FE
Skyrim.esm |  | EncDraugr02MissileHeadF11 | DraugrRace "Draugr" [RACE:00000D53] | 000223FF
Skyrim.esm |  | EncBandit01MissileImperialF | ImperialRace "Imperial" [RACE:00013744] | 00037BFC
Skyrim.esm |  | EncBandit01MissileNordF | NordRace "Nord" [RACE:00013746] | 00037BFF
Skyrim.esm |  | EncBandit02MissileImperialF | ImperialRace "Imperial" [RACE:00013744] | 00037C01
Skyrim.esm |  | EncBandit02MissileNordF | NordRace "Nord" [RACE:00013746] | 00037C03
Skyrim.esm |  | EncBandit01MissileRedguardF | RedguardRace "Redguard" [RACE:00013748] | 00037C06
Skyrim.esm |  | EncBandit02MissileRedguardF | RedguardRace "Redguard" [RACE:00013748] | 00037C08
Skyrim.esm |  | EncBandit03MissileImperialF | ImperialRace "Imperial" [RACE:00013744] | 00037C2F
Skyrim.esm |  | EncBandit03MissileNordF | NordRace "Nord" [RACE:00013746] | 00037C31
Skyrim.esm |  | EncBandit03MissileRedguardF | RedguardRace "Redguard" [RACE:00013748] | 00037C33
Skyrim.esm |  | EncBandit04MissileImperialF | ImperialRace "Imperial" [RACE:00013744] | 00037C36
Skyrim.esm |  | EncBandit04MissileNordF | NordRace "Nord" [RACE:00013746] | 00037C38
Skyrim.esm |  | EncBandit04MissileRedguardF | RedguardRace "Redguard" [RACE:00013748] | 00037C3A
Skyrim.esm |  | EncBandit05MissileImperialF | ImperialRace "Imperial" [RACE:00013744] | 00037C3D
Skyrim.esm |  | EncBandit05MissileNordF | NordRace "Nord" [RACE:00013746] | 00037C3F
Skyrim.esm |  | EncBandit05MissileRedguardF | RedguardRace "Redguard" [RACE:00013748] | 00037C41
Skyrim.esm |  | EncBandit06MissileImperialF | ImperialRace "Imperial" [RACE:00013744] | 00037C44
Skyrim.esm |  | EncBandit06MissileNordF | NordRace "Nord" [RACE:00013746] | 00037C46
Skyrim.esm |  | EncBandit06MissileRedguardF | RedguardRace "Redguard" [RACE:00013748] | 00037C48
Skyrim.esm |  | EncSoldierSonsNordF01FemaleNord | NordRace "Nord" [RACE:00013746] | 00017167
Skyrim.esm |  | EncSoldierSonsNordF02FemaleNord | NordRace "Nord" [RACE:00013746] | 00017168
Skyrim.esm |  | EncSoldierSonsNordF03FemaleNord | NordRace "Nord" [RACE:00013746] | 00017169
Skyrim.esm |  | EncDraugr01MissileHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 000387C0
Skyrim.esm |  | EncDraugr01MissileHeadF01 | DraugrRace "Draugr" [RACE:00000D53] | 000387C1
Skyrim.esm |  | EncDraugr01MissileHeadF02 | DraugrRace "Draugr" [RACE:00000D53] | 000387C2
Skyrim.esm |  | EncDraugr03Melee1HHeadF00 | DraugrRace "Draugr" [RACE:00000D53] | 000388E4
Skyrim.esm |  | EncDraugr03Melee1HHeadF02 | DraugrRace "Draugr" [RACE:00000D53] | 000388E5
Skyrim.esm |  | EncDraugr03Melee1HHeadF03 | DraugrRace "Draugr" [RACE:00000D53] | 000388E9
Skyrim.esm |  | EncDraugr03Melee2HHeadF01 | DraugrRace "Draugr" [RACE:00000D53] | 000388EB
Skyrim.esm |  | EncDraugr03Melee2HHeadF02 | DraugrRace "Draugr" [RACE:00000D53] | 000388EC
Skyrim.esm |  | EncDraugr03Melee2HHeadF03 | DraugrRace "Draugr" [RACE:00000D53] | 000388ED
Skyrim.esm |  | EncDraugr02MagicHeadF01 | DraugrRace "Draugr" [RACE:00000D53] | 0003891D
Skyrim.esm |  | EncDraugr02MagicHeadF02 | DraugrRace "Draugr" [RACE:00000D53] | 0003891E
Skyrim.esm |  | EncDraugr03MissileHeadF01 | DraugrRace "Draugr" [RACE:00000D53] | 00038928
Skyrim.esm |  | EncDraugr03MissileHeadF02 | DraugrRace "Draugr" [RACE:00000D53] | 00038929
Skyrim.esm |  | EncDraugr03MissileHeadF03 | DraugrRace "Draugr" [RACE:00000D53] | 0003892A
Skyrim.esm |  | EncDraugr03MagicHeadF01 | DraugrRace "Draugr" [RACE:00000D53] | 00038936
Skyrim.esm |  | EncDraugr03MagicHeadF02 | DraugrRace "Draugr" [RACE:00000D53] | 00038937
Skyrim.esm |  | EncDraugr04Melee1HHeadF01 | DraugrRace "Draugr" [RACE:00000D53] | 00038940
Skyrim.esm |  | EncDraugr04Melee1HHeadF02 | DraugrRace "Draugr" [RACE:00000D53] | 00038941
Skyrim.esm |  | EncDraugr04Melee1HHeadF03 | DraugrRace "Draugr" [RACE:00000D53] | 00038942
Skyrim.esm |  | EncDraugr04Melee2HHeadF01 | DraugrRace "Draugr" [RACE:00000D53] | 00038943
Skyrim.esm |  | EncDraugr04Melee2HHeadF02 | DraugrRace "Draugr" [RACE:00000D53] | 00038944
Skyrim.esm |  | EncDraugr04Melee2HHeadF03 | DraugrRace "Draugr" [RACE:00000D53] | 00038945
Skyrim.esm |  | EncDraugr04MissileHeadF01 | DraugrRace "Draugr" [RACE:00000D53] | 0003895C
Skyrim.esm |  | EncDraugr04MissileHeadF02 | DraugrRace "Draugr" [RACE:00000D53] | 0003895D
Skyrim.esm |  | EncDraugr04MissileHeadF03 | DraugrRace "Draugr" [RACE:00000D53] | 0003895E
Skyrim.esm |  | EncDraugr04MagicHeadF01 | DraugrRace "Draugr" [RACE:00000D53] | 000389F1
Skyrim.esm |  | EncDraugr04MagicHeadF02 | DraugrRace "Draugr" [RACE:00000D53] | 000389F2
Skyrim.esm |  | EncBandit01Melee2HNordF | NordRace "Nord" [RACE:00013746] | 0003CF5C
Skyrim.esm | Fjori | dunAnsilvundFemaleGhost | NordRace "Nord" [RACE:00013746] | 0003D725
Skyrim.esm |  | EncBandit01Melee2HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE53
Skyrim.esm |  | EncBandit02Melee2HNordF | NordRace "Nord" [RACE:00013746] | 0003DE55
Skyrim.esm |  | EncBandit02Melee2HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE58
Skyrim.esm |  | EncBandit03Melee2HNordF | NordRace "Nord" [RACE:00013746] | 0003DE5A
Skyrim.esm |  | EncBandit03Melee2HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE5D
Skyrim.esm |  | EncBandit04Melee2HNordF | NordRace "Nord" [RACE:00013746] | 0003DE5F
Skyrim.esm |  | EncBandit04Melee2HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE62
Skyrim.esm |  | EncBandit05Melee2HNordF | NordRace "Nord" [RACE:00013746] | 0003DE64
Skyrim.esm |  | EncBandit05Melee2HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE67
Skyrim.esm |  | EncBandit06Melee2HNordF | NordRace "Nord" [RACE:00013746] | 0003DE69
Skyrim.esm |  | EncBandit06Melee2HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE6C
Skyrim.esm |  | EncBandit01Melee2HBerserkNordF | NordRace "Nord" [RACE:00013746] | 0003DE6E
Skyrim.esm |  | EncBandit01Melee2HBerserkRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE71
Skyrim.esm |  | EncBandit03Melee2HBerserkNordF | NordRace "Nord" [RACE:00013746] | 0003DE73
Skyrim.esm |  | EncBandit03Melee2HBerserkRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE76
Skyrim.esm |  | EncBandit04Melee2HBerserkNordF | NordRace "Nord" [RACE:00013746] | 0003DE78
Skyrim.esm |  | EncBandit04Melee2HBerserkRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE7B
Skyrim.esm |  | EncBandit05Melee2HBerserkNordF | NordRace "Nord" [RACE:00013746] | 0003DE7D
Skyrim.esm |  | EncBandit05Melee2HBerserkRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE80
Skyrim.esm |  | EncBandit06Melee2HBerserkNordF | NordRace "Nord" [RACE:00013746] | 0003DE82
Skyrim.esm |  | EncBandit06Melee2HBerserkRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE85
Skyrim.esm |  | EncBandit01Melee1HTankImperialF | ImperialRace "Imperial" [RACE:00013744] | 0003DE87
Skyrim.esm |  | EncBandit01Melee1HTankNordF | NordRace "Nord" [RACE:00013746] | 0003DE89
Skyrim.esm |  | EncBandit01Melee1HTankRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE8C
Skyrim.esm |  | EncBandit02Melee1HTankImperialF | ImperialRace "Imperial" [RACE:00013744] | 0003DE8E
Skyrim.esm |  | EncBandit02Melee1HTankNordF | NordRace "Nord" [RACE:00013746] | 0003DE90
Skyrim.esm |  | EncBandit02Melee1HTankRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE93
Skyrim.esm |  | EncBandit03Melee1HTankImperialF | ImperialRace "Imperial" [RACE:00013744] | 0003DE95
Skyrim.esm |  | EncBandit03Melee1HTankNordF | NordRace "Nord" [RACE:00013746] | 0003DE97
Skyrim.esm |  | EncBandit03Melee1HTankRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DE9A
Skyrim.esm |  | EncBandit04Melee1HTankImperialF | ImperialRace "Imperial" [RACE:00013744] | 0003DE9D
Skyrim.esm |  | EncBandit04Melee1HTankNordF | NordRace "Nord" [RACE:00013746] | 0003DE9F
Skyrim.esm |  | EncBandit04Melee1HTankRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DEA2
Skyrim.esm |  | EncBandit02Melee2HBerserkNordF | NordRace "Nord" [RACE:00013746] | 0003DEA4
Skyrim.esm |  | EncBandit02Melee2HBerserkRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DEA7
Skyrim.esm |  | EncBandit05Melee1HTankImperialF | ImperialRace "Imperial" [RACE:00013744] | 0003DEA9
Skyrim.esm |  | EncBandit05Melee1HTankNordF | NordRace "Nord" [RACE:00013746] | 0003DEAB
Skyrim.esm |  | EncBandit05Melee1HTankRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DEAE
Skyrim.esm |  | EncBandit06Melee1HTankImperialF | ImperialRace "Imperial" [RACE:00013744] | 0003DEB0
Skyrim.esm |  | EncBandit06Melee1HTankNordF | NordRace "Nord" [RACE:00013746] | 0003DEB2
Skyrim.esm |  | EncBandit06Melee1HTankRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DEB5
Skyrim.esm |  | EncBandit02Boss1HImperialF | ImperialRace "Imperial" [RACE:00013744] | 0003DEDE
Skyrim.esm |  | EncBandit02Boss1HNordF | NordRace "Nord" [RACE:00013746] | 0003DEE0
Skyrim.esm |  | EncBandit02Boss1HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DEE2
Skyrim.esm |  | EncBandit03Boss1HImperialF | ImperialRace "Imperial" [RACE:00013744] | 0003DEE7
Skyrim.esm |  | EncBandit03Boss1HNordF | NordRace "Nord" [RACE:00013746] | 0003DEE9
Skyrim.esm |  | EncBandit03Boss1HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DEEB
Skyrim.esm |  | EncBandit04Boss1HImperialF | ImperialRace "Imperial" [RACE:00013744] | 0003DEF2
Skyrim.esm |  | EncBandit04Boss1HNordF | NordRace "Nord" [RACE:00013746] | 0003DEF4
Skyrim.esm |  | EncBandit04Boss1HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DEF6
Skyrim.esm |  | EncBandit05Boss1HImperialF | ImperialRace "Imperial" [RACE:00013744] | 0003DEFC
Skyrim.esm |  | EncBandit05Boss1HNordF | NordRace "Nord" [RACE:00013746] | 0003DEFE
Skyrim.esm |  | EncBandit05Boss1HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DF00
Skyrim.esm |  | EncBandit06Boss1HImperialF | ImperialRace "Imperial" [RACE:00013744] | 0003DF06
Skyrim.esm |  | EncBandit06Boss1HNordF | NordRace "Nord" [RACE:00013746] | 0003DF08
Skyrim.esm |  | EncBandit06Boss1HRedguardF | RedguardRace "Redguard" [RACE:00013748] | 0003DF0A
Skyrim.esm |  | dunVolskyggeBanditScene01a | ImperialRace "Imperial" [RACE:00013744] | 0004192A
Skyrim.esm |  | TreasCorpseDraugrFemale | DraugrRace "Draugr" [RACE:00000D53] | 0004192C
Skyrim.esm |  | EncForsworn01Melee1HBretonF02 | BretonRace "Breton" [RACE:00013741] | 00043BE0
Skyrim.esm |  | EncForsworn01Melee1HBretonF01 | BretonRace "Breton" [RACE:00013741] | 00043BE1
Skyrim.esm |  | EncForsworn01Melee1HBretonF03 | BretonRace "Breton" [RACE:00013741] | 00043BE2
Skyrim.esm |  | EncForsworn01MissileBretonF01 | BretonRace "Breton" [RACE:00013741] | 00043BE4
Skyrim.esm |  | EncForsworn01MissileBretonF02 | BretonRace "Breton" [RACE:00013741] | 00043BE5
Skyrim.esm |  | EncForsworn01MissileBretonF03 | BretonRace "Breton" [RACE:00013741] | 00043BE6
Skyrim.esm | Forsworn Shaman | EncForsworn01TemplateMagic | BretonRace "Breton" [RACE:00013741] | 00043BEA
Skyrim.esm |  | EncForsworn01MagicBretonF01 | BretonRace "Breton" [RACE:00013741] | 00043BEB
Skyrim.esm |  | EncForsworn01MagicBretonF02 | BretonRace "Breton" [RACE:00013741] | 00043BEC
Skyrim.esm |  | EncForsworn01MagicBretonF03 | BretonRace "Breton" [RACE:00013741] | 00043BED
Skyrim.esm |  | EncForsworn02MagicBretonF01 | BretonRace "Breton" [RACE:00013741] | 00043BF1
Skyrim.esm |  | EncForsworn02MagicBretonF02 | BretonRace "Breton" [RACE:00013741] | 00043BF2
Skyrim.esm |  | EncForsworn02MagicBretonF03 | BretonRace "Breton" [RACE:00013741] | 00043BF3
Skyrim.esm | Gormlaith Golden-Hilt | GormlaithGoldenHilt | NordRace "Nord" [RACE:00013746] | 00044236
Skyrim.esm |  | EncForsworn02Melee1HBretonF01 | BretonRace "Breton" [RACE:00013741] | 00044256
Skyrim.esm |  | EncForsworn02Melee1HBretonF02 | BretonRace "Breton" [RACE:00013741] | 00044257
Skyrim.esm |  | EncForsworn02Melee1HBretonF03 | BretonRace "Breton" [RACE:00013741] | 00044258
Skyrim.esm |  | EncForsworn02MissileBretonF01 | BretonRace "Breton" [RACE:00013741] | 0004425C
Skyrim.esm |  | EncForsworn02MissileBretonF02 | BretonRace "Breton" [RACE:00013741] | 0004425D
Skyrim.esm |  | EncForsworn02MissileBretonF03 | BretonRace "Breton" [RACE:00013741] | 0004425E
Skyrim.esm |  | EncForsworn03MagicBretonF01 | BretonRace "Breton" [RACE:00013741] | 00044265
Skyrim.esm |  | EncForsworn03MagicBretonF02 | BretonRace "Breton" [RACE:00013741] | 00044266
Skyrim.esm |  | EncForsworn03MagicBretonF03 | BretonRace "Breton" [RACE:00013741] | 00044267
Skyrim.esm |  | EncForsworn03Melee1HBretonF01 | BretonRace "Breton" [RACE:00013741] | 00044268
Skyrim.esm |  | EncForsworn03Melee1HBretonF02 | BretonRace "Breton" [RACE:00013741] | 00044269
Skyrim.esm |  | EncForsworn03Melee1HBretonF03 | BretonRace "Breton" [RACE:00013741] | 0004426A
Skyrim.esm |  | EncForsworn03MissileBretonF01 | BretonRace "Breton" [RACE:00013741] | 0004426E
Skyrim.esm |  | EncForsworn03MissileBretonF02 | BretonRace "Breton" [RACE:00013741] | 0004426F
Skyrim.esm |  | EncForsworn03MissileBretonF03 | BretonRace "Breton" [RACE:00013741] | 00044270
Skyrim.esm |  | EncForsworn04MagicBretonF01 | BretonRace "Breton" [RACE:00013741] | 00044277
Skyrim.esm |  | EncForsworn04MagicBretonF02 | BretonRace "Breton" [RACE:00013741] | 00044278
Skyrim.esm |  | EncForsworn04MagicBretonF03 | BretonRace "Breton" [RACE:00013741] | 00044279
Skyrim.esm |  | EncForsworn04Melee1HBretonF01 | BretonRace "Breton" [RACE:00013741] | 0004427A
Skyrim.esm |  | EncForsworn04Melee1HBretonF02 | BretonRace "Breton" [RACE:00013741] | 0004427B
Skyrim.esm |  | EncForsworn04Melee1HBretonF03 | BretonRace "Breton" [RACE:00013741] | 0004427C
Skyrim.esm |  | EncForsworn04MissileBretonF01 | BretonRace "Breton" [RACE:00013741] | 00044280
Skyrim.esm |  | EncForsworn04MissileBretonF02 | BretonRace "Breton" [RACE:00013741] | 00044281
Skyrim.esm |  | EncForsworn04MissileBretonF03 | BretonRace "Breton" [RACE:00013741] | 00044282
Skyrim.esm | Forsworn Ravager | EncForsworn05TemplateMagic | BretonRace "Breton" [RACE:00013741] | 00044286
Skyrim.esm |  | EncForsworn05MagicBretonF01 | BretonRace "Breton" [RACE:00013741] | 00044289
Skyrim.esm |  | EncForsworn05MagicBretonF02 | BretonRace "Breton" [RACE:00013741] | 0004428A
Skyrim.esm |  | EncForsworn05MagicBretonF03 | BretonRace "Breton" [RACE:00013741] | 0004428B
Skyrim.esm |  | EncForsworn05Melee1HBretonF01 | BretonRace "Breton" [RACE:00013741] | 0004428C
Skyrim.esm |  | EncForsworn05Melee1HBretonF02 | BretonRace "Breton" [RACE:00013741] | 0004428D
Skyrim.esm |  | EncForsworn05Melee1HBretonF03 | BretonRace "Breton" [RACE:00013741] | 0004428E
Skyrim.esm |  | EncForsworn05MissileBretonF01 | BretonRace "Breton" [RACE:00013741] | 00044292
Skyrim.esm |  | EncForsworn05MissileBretonF02 | BretonRace "Breton" [RACE:00013741] | 00044293
Skyrim.esm |  | EncForsworn05MissileBretonF03 | BretonRace "Breton" [RACE:00013741] | 00044294
Skyrim.esm |  | EncForsworn06MagicBretonF01 | BretonRace "Breton" [RACE:00013741] | 0004429B
Skyrim.esm |  | EncForsworn06MagicBretonF02 | BretonRace "Breton" [RACE:00013741] | 0004429C
Skyrim.esm |  | EncForsworn06MagicBretonF03 | BretonRace "Breton" [RACE:00013741] | 0004429D
Skyrim.esm |  | EncForsworn06Melee1HBretonF01 | BretonRace "Breton" [RACE:00013741] | 0004429E
Skyrim.esm |  | EncForsworn06Melee1HBretonF02 | BretonRace "Breton" [RACE:00013741] | 0004429F
Skyrim.esm |  | EncForsworn06Melee1HBretonF03 | BretonRace "Breton" [RACE:00013741] | 000442A0
Skyrim.esm |  | EncForsworn06MissileBretonF01 | BretonRace "Breton" [RACE:00013741] | 000442A4
Skyrim.esm |  | EncForsworn06MissileBretonF02 | BretonRace "Breton" [RACE:00013741] | 000442A5
Skyrim.esm |  | EncForsworn06MissileBretonF03 | BretonRace "Breton" [RACE:00013741] | 000442A6
Skyrim.esm |  | EncWarlockFire01BretonF | BretonRace "Breton" [RACE:00013741] | 00044CDC
Skyrim.esm |  | EncWarlockFire01DarkElfF | DarkElfRace "Dark Elf" [RACE:00013742] | 00044CDF
Skyrim.esm |  | EncWarlockFire01HighElfF | HighElfRace "High Elf" [RACE:00013743] | 00044CE3
Skyrim.esm |  | EncWarlockFire01ImperialF | ImperialRace "Imperial" [RACE:00013744] | 00044CEA
Skyrim.esm | Nord | TreasCorpseCommonerNordFemale | NordRace "Nord" [RACE:00013746] | 000457F5
Skyrim.esm | Dark Elf | TreasCorpseCommonerDarkElfFemale | DarkElfRace "Dark Elf" [RACE:00013742] | 000457F7
Skyrim.esm | High Elf | TreasCorpseCommonerHighElfFemale | HighElfRace "High Elf" [RACE:00013743] | 000457F9
Skyrim.esm | Khajiit | TreasCorpseCommonerKhajiitFemale | KhajiitRace "Khajiit" [RACE:00013745] | 000457FA
Skyrim.esm | Argonian | TreasCorpseCommonerArgonianFemale | ArgonianRace "Argonian" [RACE:00013740] | 000457FB
Skyrim.esm | Breton | TreasCorpseCommonerBretonFemale | BretonRace "Breton" [RACE:00013741] | 000457FF
Skyrim.esm | Imperial | TreasCorpseCommonerImperialFemale | ImperialRace "Imperial" [RACE:00013744] | 00045802
Skyrim.esm | Wood Elf | TreasCorpseCommonerWoodElfFemale | WoodElfRace "Wood Elf" [RACE:00013749] | 00045805
Skyrim.esm | Orc | TreasCorpseCommonerOrcFemale | OrcRace "Orc" [RACE:00013747] | 00045806
Skyrim.esm |  | EncWarlockIce01BretonF | BretonRace "Breton" [RACE:00013741] | 00045C51
Skyrim.esm |  | EncWarlockIce01HighElfF | HighElfRace "High Elf" [RACE:00013743] | 00045C53
Skyrim.esm |  | EncWarlockIce01ImperialF | ImperialRace "Imperial" [RACE:00013744] | 00045C55
Skyrim.esm |  | EncWarlockStorm01BretonF | BretonRace "Breton" [RACE:00013741] | 00045C57
Skyrim.esm |  | EncWarlockStorm01DarkElfF | DarkElfRace "Dark Elf" [RACE:00013742] | 00045C59
Skyrim.esm |  | EncWarlockStorm01HighElfF | HighElfRace "High Elf" [RACE:00013743] | 00045C5B
Skyrim.esm |  | EncWarlockStorm01ImperialF | ImperialRace "Imperial" [RACE:00013744] | 00045C5D
Skyrim.esm |  | EncWarlockFire02BretonF | BretonRace "Breton" [RACE:00013741] | 00045C62
Skyrim.esm |  | EncWarlockFire02DarkElfF | DarkElfRace "Dark Elf" [RACE:00013742] | 00045C64
Skyrim.esm |  | EncWarlockFire02HighElfF | HighElfRace "High Elf" [RACE:00013743] | 00045C66
Skyrim.esm |  | EncWarlockFire02ImperialF | ImperialRace "Imperial" [RACE:00013744] | 00045C68
